ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_error,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_precision__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,LLM__lex_few_shot_precision__openai_gpt-oss-20b_error,LLM__lex_few_shot_base__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_base__openai_gpt-5.4-mini_error,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_base__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,LLM__lex_few_shot_base__openai_gpt-oss-20b_error
1192,sick,dev,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,entailment,3,TRUE,,,"(woods, wooded area)","(woods, wooded area)","(woods, wooded area)",,,,FALSE,FALSE,TRUE,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment  
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(wood, wooded area) }","isa_wn(wood, wooded area)",,"answer: entailment  
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",
1405221276.jpg#4r1e,snli,dev,Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,FALSE,TRUE,,FALSE,,,"answer: entailment
relations: { entails(shake themselves dry, shake off water), entails(sand, water) }","isa_wn(shake themselves dry, shake off water); isa_wn(sand, water)",,"answer: entailment
relations: { entails(shaking themselves dry, shake off water to get dry) }","isa_wn(shaking themselves dry, shake off water to get dry)",,"answer: entailment
relations: { entails(shake themselves dry, shake off water to get dry) }","isa_wn(shake themselves dry, shake off water to get dry)",,"answer: entailment  
relations: { entails(shake themselves dry, shake off water) }","isa_wn(shake themselves dry, shake off water)",,"answer: entailment
relations: { entails(shaking oneself dry, shake off water to get dry) }","isa_wn(shaking oneself dry, shake off water to get dry)",,"answer: entailment
relations: { entails(shake, shake off), entails(sand, water) }

Wait, let me reconsider. The relation entails(sand, water) is not correct - sand is not a type of water. Let me think about this more carefully.

The premise states: ""Two dogs shaking themselves dry on the sand.""
The hypothesis states: ""Two dogs shake off water to get dry.""

The dogs are shaking themselves to get dry. When dogs shake themselves to get dry, they are shaking off water. The fact that they are on the sand doesn't contradict that they are shaking off water - dogs shake off water when wet, and the sand is where this is happening.

Actually, ""shaking themselves dry"" entails that they are shaking off water, since shaking dry means removing water by shaking.

answer: entailment
relations: { entails(shake dry, shake off water) }","isa_wn(shake, shake off); isa_wn(sand, water); isa_wn(sand, water); isa_wn(shake dry, shake off water)",,"answer: entailment
relations: { entails(shake self, shake off water) }","isa_wn(shake self, shake off water)",,"answer: entailment  
relations: { entails(shaking themselves dry, shake off water), entails(shaking themselves dry, get dry) }","isa_wn(shaking themselves dry, shake off water); isa_wn(shaking themselves dry, get dry)",
147236031.jpg#1r1e,snli,dev,An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.,entailment,2,TRUE,,"(asparagus, vegetable); (trim, cut)",,"(asparagus, vegetable); (trim, cut)","(asparagus, vegetable); (trim, cut)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(trimming, cuts), entails(asparagus, vegetables), entails(Asian woman, woman) }","isa_wn(trimming, cuts); isa_wn(asparagus, vegetables); isa_wn(Asian woman, woman)",,"answer: entailment
relations: { entails(trim asparagus, cut vegetable), entails(Asian woman, woman) }","isa_wn(trim asparagus, cut vegetable); isa_wn(Asian woman, woman)",,"answer: entailment
relations: { entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",,"answer: entailment  
relations: { entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",,"answer: entailment
relations: { entails(asparagus, vegetable), entails(trim, cut) }","isa_wn(asparagus, vegetable); isa_wn(trim, cut)",,"answer: entailment  
relations: { entails(Asian woman, woman), entails(trimming, cutting), entails(asparagus, vegetable) }","isa_wn(Asian woman, woman); isa_wn(trimming, cutting); isa_wn(asparagus, vegetable)",
1796608106.jpg#4r1e,snli,dev,A woman building herself a sand castle.,a women is making a sand castle,entailment,2,TRUE,,"(build, make)","(build, make)","(build, make)",,TRUE,TRUE,,TRUE,,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(build, make), entails(woman, women) }

Wait, let me reconsider. The phrase ""woman"" in the premise is singular, while ""women"" in the hypothesis is plural. This is not a lexical entailment relation—it's a grammatical number mismatch that doesn't represent a semantic entailment relationship.

Let me re-examine: The premise states ""A woman building herself a sand castle"" (singular). The hypothesis states ""a women is making a sand castle"" (plural, which is also grammatically incorrect, but taking it as stated).

Actually, the core entailment is:
- ""a woman"" (singular) entails the existence of at least one woman, which is consistent with ""women"" (plural referring to potentially multiple instances)
- However, this is not a straightforward lexical relation.

More carefully: The hypothesis has ""women"" (plural) but the premise has ""woman"" (singular). This is actually problematic for entailment in the strict sense, as the premise doesn't entail that multiple women are making a sand castle.

Given this grammatical issue in the hypothesis, the most accurate assessment is:

answer: non-entailment

The premise describes a single woman, while the hypothesis refers to women (plural). The premise does not entail the hypothesis as stated.

However, if we interpret ""women"" as a typo for ""woman"", then:

answer: entailment
relations: { entails(build, make) }","isa_wn(build, make); isa_wn(woman, women); isa_wn(build, make)",,"answer: entailment
relations: { entails(build, make) }","isa_wn(build, make)",,"answer: entailment
relations: { entails(build, make) }","isa_wn(build, make)",,"answer: entailment
relations: { entails(building, making), entails(woman, women) }","isa_wn(building, making); isa_wn(woman, women)",,"answer: entailment
relations: { entails(build, make), entails(woman, women) }","isa_wn(build, make); isa_wn(woman, women)",,"answer: entailment
relations: { entails(build, make) }","isa_wn(build, make)",,"**answer:** entailment  
**relations:** { entails(building, making) }","isa_wn(building, making)",
211,sick,dev,Two dogs are playing by a tree,Two dogs are playing by a plant,entailment,2,TRUE,,"(tree, plant)","(tree, plant)",,"(tree, plant)",TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment  
relations: { entails(tree, plant) }","isa_wn(tree, plant)",
2255375425.jpg#2r1e,snli,dev,A man is sitting in on the side of the street with brass pots.,A man is sitting.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""A man is sitting"" is directly entailed by the premise ""A man is sitting in on the side of the street with brass pots"" without requiring any non-trivial lexical entailment relations. The premise contains all the information needed for the hypothesis - it explicitly states that a man is sitting. The additional details about location (side of the street) and objects (brass pots) are merely elaborations that do not affect the core assertion that a man is sitting.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: {}",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""A man is sitting"" is a direct simplification of the premise ""A man is sitting in on the side of the street with brass pots."" The premise explicitly states that a man is sitting, and the additional details (location on the side of the street, presence of brass pots) are modifiers that do not negate or contradict the core proposition. Therefore, the hypothesis is entailed without requiring any non-trivial lexical entailments.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,
2367387854.jpg#1r1e,snli,dev,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.,entailment,2,TRUE,,"(microphone, device); (talk, speak)","(microphone, device); (talk, speak)",,"(microphone, device); (talk, speak)",FALSE,,TRUE,,FALSE,,"answer: entailment  
relations: { entails(talking, speaking), entails(microphone, device) }","isa_wn(talking, speaking); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment  
relations: { entails(microphone, device), entails(talk, speak) }","isa_wn(microphone, device); isa_wn(talk, speak)",,"answer: entailment
relations: { entails(talking, speaking), entails(microphone, device) }","isa_wn(talking, speaking); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment  
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",
237424188.jpg#0r1e,snli,dev,"A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk, while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her.",two girls in a room,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(rocking chair, room) }","isa_wn(rocking chair, room)",,"answer: entailment

relations: { }

explanation: The premise explicitly mentions ""a girl"" and ""another girl,"" which clearly establishes that there are two girls present. The premise describes them in a room with furniture (rocking chair, desk) and papers, which establishes they are in a room. No non-trivial lexical entailment relations are needed to bridge the premise and hypothesis, as the entailment follows directly from the explicit mention of two girls and the room setting described in the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(girl, girl) }","isa_wn(girl, girl)",,"answer: entailment
relations: { entails(girl, person), entails(sitting in rocking chair, in room), entails(sitting on floor, in room) }","isa_wn(girl, person); isa_wn(sitting in rocking chair, in room); isa_wn(sitting on floor, in room)",,"answer: entailment
relations: { entails(girl and girl, two girl) }","isa_wn(girl and girl, two girl)",,"**answer:** entailment  
**relations:** {entails(floor, room)}","isa_wn(floor, room)",
2393059551.jpg#1r1e,snli,dev,Two people work construction on the inside of a house.,Two people work inside.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring non-trivial lexical relations. The premise states that two people work construction on the inside of a house, which directly implies that two people work inside. The phrase ""construction on the inside of a house"" contains the core information that they work inside; the specific detail about construction is additional but does not prevent the entailment of the simpler statement.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"Answer: entailment
Relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise states that ""Two people work construction on the inside of a house,"" which directly entails that ""Two people work inside."" The phrase ""on the inside of a house"" necessarily means ""inside,"" so the hypothesis is a direct logical consequence of the premise. No special lexical entailments are needed to bridge the two sentences.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"**answer:** entailment  
**relations:** { entails(construction, work) }","isa_wn(construction, work)",
241345721.jpg#4r1e,snli,dev,Men playing football.,Some men are playing a game.,entailment,2,TRUE,,"(football, game)","(football, game)","(football, game)",,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"**answer:** entailment  
**relations:** { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"**answer:** entailment  
**relations:** { entails(football, game) }","isa_wn(football, game)",
